user_id,age_group,city_tier,subscription_plan,new_subscription_plan,upgrade_or_not
UIDLC0001086afc3,35-44,Tier 2,Premium,Free,0
UIDLC0002189b09f,18-24,Tier 2,Premium,Free,0
UIDLC00044bbb294,25-34,Tier 2,Free,Basic,1
UIDLC0007b26e5f0,25-34,Tier 1,Basic,Premium,1
UIDLC000821d36c9,45+,Tier 1,Premium,Free,0
UIDLC000892a1bc4,18-24,Tier 2,Premium,Free,0
UIDLC0008d7e1bd3,35-44,Tier 1,Basic,Premium,1
UIDLC0008fe2a4d7,18-24,Tier 3,Premium,Free,0
UIDLC0008ff6f3a7,18-24,Tier 1,Premium,Free,0
UIDLC000cf9b43c5,18-24,Tier 2,Basic,Free,0
UIDLC000e508c8d4,35-44,Tier 1,Premium,Free,0
UIDLC00152c4ccac,45+,Tier 2,Basic,Premium,1
UIDLC0019a6c5f7b,18-24,Tier 1,Basic,Free,0
UIDLC0019e41c4cc,35-44,Tier 1,Basic,Free,0
UIDLC001da056e5b,25-34,Tier 1,Premium,Free,0
UIDLC0021bf28d2d,18-24,Tier 3,Basic,Free,0
UIDLC00245f83608,45+,Tier 2,Premium,Basic,0
UIDLC0024debdc4f,35-44,Tier 3,Premium,Free,0
UIDLC002662490e9,18-24,Tier 3,Premium,Free,0
UIDLC00288b2a050,18-24,Tier 1,Premium,Free,0
UIDLC00290853923,25-34,Tier 1,Free,Premium,1
UIDLC002da397111,18-24,Tier 2,Basic,Free,0
UIDLC0031aa4e77e,35-44,Tier 3,Basic,Free,0
UIDLC0032691a774,25-34,Tier 1,Premium,Free,0
UIDLC0033c97eb10,35-44,Tier 2,Premium,Basic,0
UIDLC003473cea21,45+,Tier 1,Free,Basic,1
UIDLC003473e74cd,35-44,Tier 2,Basic,Free,0
UIDLC003d55eba39,35-44,Tier 3,Basic,Premium,1
UIDLC00486239029,25-34,Tier 2,Free,Basic,1
UIDLC0051ae28e1a,18-24,Tier 3,Basic,Free,0
UIDLC005272250c5,45+,Tier 1,Premium,Free,0
UIDLC00531cc830d,25-34,Tier 1,Premium,Free,0
UIDLC0053c91cb92,18-24,Tier 1,Free,Basic,1
UIDLC005a3c14ccb,18-24,Tier 1,Premium,Free,0
UIDLC005a9fbfedc,18-24,Tier 3,Premium,Basic,0
UIDLC005cfcfffdf,18-24,Tier 1,Premium,Free,0
UIDLC0064d1dfd84,18-24,Tier 3,Premium,Basic,0
UIDLC00692f126ff,25-34,Tier 2,Basic,Premium,1
UIDLC006977b5998,35-44,Tier 3,Premium,Basic,0
UIDLC0069b14c326,45+,Tier 1,Basic,Free,0
UIDLC006b3858328,18-24,Tier 3,Basic,Free,0
UIDLC006e54c9947,18-24,Tier 2,Basic,Free,0
UIDLC006e8f3a857,18-24,Tier 3,Premium,Free,0
UIDLC0075c066db2,35-44,Tier 1,Free,Basic,1
UIDLC007931415d3,35-44,Tier 2,Basic,Premium,1
UIDLC007bed0ab63,45+,Tier 3,Basic,Free,0
UIDLC007c348e7e4,25-34,Tier 2,Basic,Free,0
UIDLC007c4732727,18-24,Tier 2,Basic,Free,0
UIDLC007d46fccf4,18-24,Tier 3,Premium,Free,0
UIDLC007dad26604,18-24,Tier 3,Basic,Free,0
UIDLC007e154e2c9,25-34,Tier 2,Basic,Free,0
UIDLC007e79bd7bf,25-34,Tier 3,Basic,Free,0
UIDLC00813693ad4,18-24,Tier 2,Premium,Free,0
UIDLC00825dfbefe,18-24,Tier 2,Premium,Free,0
UIDLC0085fb0bc33,18-24,Tier 1,Premium,Free,0
UIDLC008813a1293,45+,Tier 2,Premium,Basic,0
UIDLC0089e41ffe7,35-44,Tier 2,Basic,Free,0
UIDLC0091c457878,18-24,Tier 3,Premium,Free,0
UIDLC009303b2278,35-44,Tier 1,Premium,Free,0
UIDLC00a105352ad,18-24,Tier 2,Basic,Free,0
UIDLC00a4b345888,25-34,Tier 1,Premium,Basic,0
UIDLC00a578d3fa4,18-24,Tier 2,Basic,Free,0
UIDLC00a6c6eccc2,25-34,Tier 3,Basic,Free,0
UIDLC00a7d642d44,18-24,Tier 1,Basic,Free,0
UIDLC00a8cf8bf30,35-44,Tier 2,Free,Basic,1
UIDLC00a9178e736,35-44,Tier 1,Premium,Free,0
UIDLC00aabe3adfc,18-24,Tier 1,Basic,Premium,1
UIDLC00ade23d0c3,18-24,Tier 3,Basic,Free,0
UIDLC00aef4656da,25-34,Tier 1,Basic,Free,0
UIDLC00b0b4d5a4f,35-44,Tier 3,Premium,Basic,0
UIDLC00b743e6d40,25-34,Tier 3,Basic,Free,0
UIDLC00b9d99e88e,25-34,Tier 3,Premium,Free,0
UIDLC00beadb885e,18-24,Tier 2,Premium,Free,0
UIDLC00c2830c52c,25-34,Tier 2,Basic,Free,0
UIDLC00c3c2f0b27,18-24,Tier 1,Premium,Free,0
UIDLC00c996f5e4f,18-24,Tier 2,Premium,Free,0
UIDLC00cb6bb5351,45+,Tier 3,Free,Basic,1
UIDLC00d2f702a62,18-24,Tier 2,Premium,Free,0
UIDLC00d624feeaf,25-34,Tier 2,Basic,Free,0
UIDLC00d82f2e60e,18-24,Tier 3,Basic,Free,0
UIDLC00d9b95b7b9,35-44,Tier 1,Free,Basic,1
UIDLC00d9c490b99,18-24,Tier 1,Premium,Free,0
UIDLC00db8df6622,25-34,Tier 2,Premium,Free,0
UIDLC00dbba1abd9,35-44,Tier 3,Premium,Free,0
UIDLC00dc234b457,35-44,Tier 2,Basic,Premium,1
UIDLC00e2a424710,35-44,Tier 1,Free,Basic,1
UIDLC00e3f064637,18-24,Tier 1,Premium,Free,0
UIDLC00e4706d900,18-24,Tier 2,Basic,Free,0
UIDLC00e7e178243,35-44,Tier 1,Free,Basic,1
UIDLC00e89a510ff,45+,Tier 3,Basic,Free,0
UIDLC00e8e4d9578,35-44,Tier 1,Premium,Free,0
UIDLC00ecbfee8f8,35-44,Tier 3,Basic,Free,0
UIDLC00ee2762a64,45+,Tier 3,Premium,Free,0
UIDLC00ee37e54b5,25-34,Tier 1,Basic,Premium,1
UIDLC00ef295cc94,25-34,Tier 2,Basic,Free,0
UIDLC00ef8f0c030,25-34,Tier 1,Free,Basic,1
UIDLC00efd0136da,35-44,Tier 2,Premium,Free,0
UIDLC00f01d779de,18-24,Tier 2,Basic,Free,0
UIDLC00f32436622,18-24,Tier 2,Basic,Free,0
UIDLC00f6d007420,18-24,Tier 2,Premium,Free,0
UIDLC00f757cecf2,45+,Tier 2,Basic,Free,0
UIDLC00f930fa857,45+,Tier 1,Premium,Free,0
UIDLC00fb65c10ce,25-34,Tier 1,Premium,Basic,0
UIDLC00fb94c49a3,18-24,Tier 1,Basic,Free,0
UIDLC00fcd2c2094,25-34,Tier 3,Premium,Free,0
UIDLC00fd100247d,25-34,Tier 2,Basic,Free,0
UIDLC01011445f12,25-34,Tier 2,Premium,Free,0
UIDLC01018d943a7,25-34,Tier 3,Basic,Free,0
